individual_id,site_code,site_nom,riviere,role_population,annee,individual,taxon_code_actuel,espece_actuelle,sexe,taille_cm,poids_g,n_tissus_sequences,tissus,Individu,taxon_code_index,mediane des Index par chromosome,delta_mediane_quart
2014_Bue_1018,Bue,Büech,Durance,sympatrie+hyb,2014,1018,Ch,Chondrostoma sp.,,15.5,29.0,4,branchie;caudale;hindgut;midgut,14Bue1018,Pt,0.0001,0.009559940000000001
2014_Bue_1019,Bue,Büech,Durance,sympatrie+hyb,2014,1019,Ch,Chondrostoma sp.,,12.5,15.0,4,branchie;caudale;hindgut;midgut,14Bue1019,Pt,0.0001,0.0
2014_Man_1001,Man,Manosque,Durance,à statuer,2014,1001,Cn,Chondrostoma nasus,X,13.0,27.0,4,branchie;caudale;hindgut;midgut,14Man1001,Pt,0.0001,0.0031458500000000004
2014_Man_1002,Man,Manosque,Durance,à statuer,2014,1002,Cn,Chondrostoma nasus,M,14.5,40.0,4,branchie;caudale;hindgut;midgut,14Man1002,Hy,0.0001,0.366158
2014_Man_1010,Man,Manosque,Durance,à statuer,2014,1010,Cn,Chondrostoma nasus,X,11.5,17.0,4,branchie;caudale;hindgut;midgut,14Man1010,Pt,0.0001,0.0
2014_Man_1011,Man,Manosque,Durance,à statuer,2014,1011,Ch,Chondrostoma sp.,M,13.5,29.0,4,branchie;caudale;hindgut;midgut,14Man1011,Pt,0.0001,0.0034689200000000003
2014_Man_1012,Man,Manosque,Durance,à statuer,2014,1012,Ch,Chondrostoma sp.,X,11.5,15.0,4,branchie;caudale;hindgut;midgut,14Man1012,Pt,0.0001,0.00126172
2014_Man_1013,Man,Manosque,Durance,à statuer,2014,1013,Ch,Chondrostoma sp.,X,11.5,15.0,4,branchie;caudale;hindgut;midgut,14Man1013,Pt,0.0001,0.0236388
2014_Man_1014,Man,Manosque,Durance,à statuer,2014,1014,Ch,Chondrostoma sp.,M,11.5,15.0,4,branchie;caudale;hindgut;midgut,14Man1014,Pt,0.0001,0.0023953100000000003
2014_Man_1015,Man,Manosque,Durance,à statuer,2014,1015,Ch,Chondrostoma sp.,X,11.0,15.0,4,branchie;caudale;hindgut;midgut,14Man1015,Pt,0.0001,0.0
