individual_id,site_code,site_nom,riviere,role_population,annee,individual,taxon_code_actuel,espece_actuelle,sexe,taille_cm,poids_g,n_tissus_sequences,tissus,index_hybride,index_hybride_source
2014_Avi_1005,Avi,Avignon,Durance,asym. Hotu,2014,1005,Cn,Chondrostoma nasus,X,12,18,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Bue_1002,Bue,Büech,Durance,sympatrie+hyb,2014,1002,Cn,Chondrostoma nasus,,,,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Bue_1012,Bue,Büech,Durance,sympatrie+hyb,2014,1012,Ch,Chondrostoma sp.,M,18.5,43,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Man_1001,Man,Manosque,Durance,à statuer,2014,1001,Cn,Chondrostoma nasus,X,13,27,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Man_1016,Man,Manosque,Durance,à statuer,2014,1016,Ch,Chondrostoma sp.,X,11.5,16,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Per_1012,Per,?,?,à statuer,2014,1012,Ch,Chondrostoma sp.,X,12.5,23,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Ain_1036,Ain,Ain,Ain,allopatrie,2014,1036,Cn,Chondrostoma nasus,M,33,495,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2015_Cab_1001,Cab,Ain,Ain,allopatrie,2015,1001,Ch,Chondrostoma sp.,F,50,1467,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Cab_1009,Cab,Ain,Ain,allopatrie,2015,1009,Ch,Chondrostoma sp.,F,42,1047,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Cab_1017,Cab,Ain,Ain,allopatrie,2015,1017,Ch,Chondrostoma sp.,M,17,55,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Avi_1006,Avi,Avignon,Durance,asym. Hotu,2014,1006,Cn,Chondrostoma nasus,X,11,13,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Bue_1003,Bue,Büech,Durance,sympatrie+hyb,2014,1003,Cn,Chondrostoma nasus,NA,18,39,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Bue_1013,Bue,Büech,Durance,sympatrie+hyb,2014,1013,Ch,Chondrostoma sp.,NA,13.5,15,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Man_1002,Man,Manosque,Durance,à statuer,2014,1002,Cn,Chondrostoma nasus,M,14.5,40,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Man_1017,Man,Manosque,Durance,à statuer,2014,1017,Ch,Chondrostoma sp.,X,12,19,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Per_1013,Per,?,?,à statuer,2014,1013,Ch,Chondrostoma sp.,,,,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Ain_1037,Ain,Ain,Ain,allopatrie,2014,1037,Cn,Chondrostoma nasus,F,39.5,857,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
