individual_id,site_code,site_nom,riviere,annee,individual,taxon_morpho,classe_genotype,index_median,D,classe_selon_regles,sexe,taille_cm,n_tissus,bloc_numerotation,utilisable_3000,n_tissus_utilisables
2015_Avi_1008,Avi,Avignon,Durance,2015,1008,Cn,Cn,0.9999,0.01104000000000005,pur Cn,X,12.0,4,A (1001-1010),True,3
2015_Avi_1009,Avi,Avignon,Durance,2015,1009,Cn,Cn,0.9999,0.06070900000000001,pur Cn,X,12.5,4,A (1001-1010),True,4
2015_Avi_1010,Avi,Avignon,Durance,2015,1010,Cn,Cn,0.9999,0.023951999999999973,pur Cn,X,11.5,4,A (1001-1010),True,4
2015_Avi_1011,Avi,Avignon,Durance,2015,1011,Cn,Cn,0.9999,0.05917300000000003,pur Cn,X,13.0,4,B (>1010),True,4
2015_Avi_1012,Avi,Avignon,Durance,2015,1012,Pt,Hy,0.0001,0.39093300000000003,introgressé Pt,F,20.0,4,B (>1010),True,4
2015_Avi_1013,Avi,Avignon,Durance,2015,1013,Pt,Hy,0.28511410000000004,0.33378589999999997,F2 / recombinant (D élevé),M,23.0,4,B (>1010),True,4
2015_Bau_1001,Bau,Baume,Ardèche,2015,1001,Ch,Pt,0.0001,0.0011884,pur Pt,F,21.5,4,A (1001-1010),True,3
2015_Bau_1002,Bau,Baume,Ardèche,2015,1002,Ch,Pt,0.0001,0.00046527,pur Pt,F,17.5,4,A (1001-1010),True,4
2015_Bau_1003,Bau,Baume,Ardèche,2015,1003,Ch,Pt,0.0001,0.0,pur Pt,M,23.0,4,A (1001-1010),True,4
2015_Bau_1004,Bau,Baume,Ardèche,2015,1004,Ch,Pt,0.0001,0.07919129999999999,pur Pt,F,17.0,4,A (1001-1010),True,4
2015_Bau_1005,Bau,Baume,Ardèche,2015,1005,Ch,Pt,0.004509865000000001,0.039507935,pur Pt,M,21.0,4,A (1001-1010),True,4
2015_Bau_1006,Bau,Baume,Ardèche,2015,1006,Ch,Hy,0.5132975,0.09612850000000006,F1 (D faible),F,24.0,4,A (1001-1010),True,3
2015_Bau_1007,Bau,Baume,Ardèche,2015,1007,Ch,Pt,0.0001,0.00827844,pur Pt,F,24.0,4,A (1001-1010),True,3
2015_Bau_1008,Bau,Baume,Ardèche,2015,1008,Ch,Pt,0.0001,0.039034,pur Pt,M,18.0,4,A (1001-1010),True,4
