Individu;Q2_Ch1;Q2_Ch2;Q2_ch3;Q1_ch4;Q2_ch5;Q2_ch6;Q2_ch7;Q1_ch8;Q2_Ch9;Q1_Ch10;Q2_ch11;Q2_Ch12;Q2_ch13;Q1_14;Q2_15;Q2_16;Q1_17;Q2_Ch18;Q1_ch19;Q2_ch20;Q1_ch21;Q1_ch22;Q1_ch23;Q2_24;Q2_ch25
15Caa1017Hy;0,0886491;0,0665775;0,123406;0,0618111;0,147638;0,112259;0,0910303;0,0694762;0,100609;0,137326;0,0320653;0,0990945;0,128259;0,100663;0,0610536;1E-04;0,0578683;0,075427;0,0573878;0,116284;0,0975046;0,0773239;0,100626;0,104546;0,0869103
15Caa1018Pt;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,00521405;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,00215984;1E-04;1E-04;0,0259486;0,0159328;0,000845674
15Caa1020Pt;1E-04;0,00750825;1E-04;1E-04;1E-04;1E-04;0,0193358;0,0147794;1E-04;1E-04;1E-04;1E-04;0,00132369;1E-04;1E-04;1E-04;1E-04;0,00295473;1E-04;1E-04;0,00270002;0,0261511;1E-04;1E-04;1E-04
15Caa1019Hy;1E-04;1E-04;0,00789442;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,00245174;1E-04;0,00178382;1E-04;1E-04;0,204638;1E-04;1E-04;1E-04;1E-04
15Cab1001Cn;0,9999;0,9999;0,999257;0,9999;0,955314;0,953432;0,9999;0,9999;0,9999;0,945723;0,9999;0,9999;0,957894;0,955791;0,9999;0,99147;0,9999;0,9999;0,977139;0,9999;0,967972;0,9999;0,9999;0,929788;0,9999
15Cab1002Cn;0,842065;0,975621;0,922157;0,913873;0,957924;0,960881;0,966883;0,958822;0,989469;0,985673;0,920309;0,930973;0,842999;0,956023;0,900853;0,978613;0,9999;0,986722;0,980219;0,963354;0,999214;0,943675;0,918633;0,981258;0,964734
15Cab1003Cn;0,982388;0,9999;0,977598;0,998062;0,9999;0,978995;0,993681;0,9219;0,962725;0,939966;0,953585;0,938678;0,952934;0,9999;0,911948;0,9999;0,9999;0,999286;0,937711;0,9999;0,9999;0,980429;0,948323;0,988253;0,9999
15Cab1004Cn;0,990648;0,98291;0,995146;0,9999;0,9999;0,98247;0,9999;0,894637;0,9999;0,977542;0,9999;0,972813;0,9999;0,9999;0,9999;0,972465;0,9999;0,9999;0,976613;0,9848;0,9999;0,988093;0,940004;0,984259;0,968806
15Cab1005Cn;0,9999;0,9999;0,9999;0,981853;0,9999;0,973299;0,987113;0,942987;0,9999;0,997167;0,973459;0,9999;0,987032;0,9999;0,9999;0,9999;0,991061;0,957632;0,9999;0,9999;0,932016;0,9999;0,9999;0,9999;0,9999
15Cab1006Cn;0,849685;0,936039;0,925445;0,919282;0,95961;0,913792;0,917128;0,990414;0,993347;0,975659;0,95454;0,991197;0,969818;0,9773;0,9999;0,974407;0,96246;0,9999;0,965457;0,937397;0,9999;0,9999;0,890932;0,93927;0,944928
15Cab1007Cn;0,985686;0,993364;0,989651;0,9999;0,946779;0,9999;0,965816;0,971002;0,984059;0,9999;0,9999;0,97728;0,9999;0,957547;0,898621;0,9999;0,983942;0,961907;0,997002;0,9999;0,992075;0,9999;0,9999;0,9999;0,9999
15Cab1008Cn;0,9999;0,9999;0,980937;0,9999;0,990101;0,958602;0,988325;0,9999;0,983392;0,9999;0,968422;0,9999;0,9999;0,9999;0,9999;0,956703;0,984745;0,9999;0,9999;0,9999;0,9999;0,9999;0,995928;0,9999;0,9999
15Cab1009Hy;0,832649;0,89632;0,844792;0,994052;0,769241;0,9029;0,915805;0,903652;0,94805;0,922496;0,883019;0,868316;0,92555;0,860412;0,859111;0,974986;0,817068;0,823757;0,869227;0,863258;0,854331;0,96363;0,883982;0,970427;0,947381
15Cab1012Pt;1E-04;0,00067349;1E-04;0,020994;1E-04;0,0458478;0,0012129;1E-04;1E-04;1E-04;1E-04;0,00258346;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,00883044;0,0132494;1E-04;0,000582239;1E-04;1E-04
15Cab1013Pt;0,00226115;0,02411;1E-04;1E-04;1E-04;0,0238356;1E-04;1E-04;1E-04;1E-04;0,0200095;0,037795;0,0674957;1E-04;1E-04;1E-04;0,00374905;0,0158169;0,0207448;0,0135634;0,0193166;1E-04;0,0640904;1E-04;1E-04
15Cab1014Pt;0,00291838;0,0116379;1E-04;1E-04;1E-04;1E-04;1E-04;0,0125969;1E-04;1E-04;0,0327654;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,0113089;1E-04;1E-04;1E-04;1E-04
15Cab1015Pt;0,00964761;0,00613675;0,0123371;0,00758061;1E-04;0,00336347;1E-04;1E-04;1E-04;1E-04;0,00551553;1E-04;0,0111055;0,00334371;1E-04;1E-04;1E-04;1E-04;0,0101517;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04
15Cab1016Pt;1E-04;0,011298;1E-04;1E-04;0,00204113;0,00196083;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,00185851;1E-04;1E-04;1E-04;1E-04;1E-04
15Cab1017Pt;1E-04;1E-04;1E-04;0,0293887;1E-04;0,00661233;1E-04;1E-04;1E-04;1E-04;1E-04;0,0136881;1E-04;1E-04;0,00425547;1E-04;1E-04;1E-04;0,0083594;0,00113608;1E-04;1E-04;0,010341;1E-04;1E-04
15Cab1018Pt;0,0100806;1E-04;1E-04;1E-04;1E-04;0,0211097;0,0185309;1E-04;0,00650367;0,00146228;0,0668285;0,0182819;0,0071611;0,0173947;0,0219637;1E-04;0,00176404;0,0186959;0,00136491;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04
